id,Name,Address,Location,Postal_code,Starred
270," Chef's Table at Brooklyn Fare","431 W 37th St"," New York",10018,TRUE
271," Aureole","135 W 42nd St"," New York",10036,TRUE
272," Gabriel Kreuther","41 W 42nd St"," New York",10036,TRUE
273," Agern","Grand Central Terminal  89 E 42nd St"," New York",10017,TRUE
274," Sushi Ginza Onodera","461 5th Ave"," New York",10017,TRUE
275," Sushi Amane","245 E 44th St"," New York",10017,TRUE
276," Sushi Yasuda","204 E 43rd St"," New York",10017,TRUE
277," Ai Fiori","400 5th Ave #2"," New York",10018,TRUE
278," Caf̩ China","13 E 37th St"," New York",10016,TRUE
279," Kajitsu","125 E 39th St"," New York",10016,TRUE
280," Tempura Matsui","222 E 39th St"," New York",10016,TRUE
281," Ushiwakamaru","362 W 23rd St"," New York",10011,TRUE
282," The Breslin","16 W 29th St"," New York",10001,TRUE
283," The NoMad Restaurant","1170 Broadway"," New York",10001,TRUE
284," Del Posto","85 10th Ave"," New York",10011,TRUE
285," Casa Enrique","5-48 49th Ave"," Long Island City",11101,TRUE
286," Junoon","27 W 24th St"," New York",10010,TRUE
287," La Sirena","88 9th Ave"," New York",10011,TRUE
288," Eleven Madison Park","11 Madison Ave"," New York",10010,TRUE
289," The Clocktower","5 Madison Ave"," New York",10010,TRUE
290," Cote Korean Steakhouse","16 W 22nd St"," New York",10010,TRUE
291," Rouge Tomate Chelsea","126 W 18th St"," New York",10011,TRUE
292," Gunter Seeger NY","641 Hudson St"," New York",10014,TRUE
293," ALDEA","31 W 17th St"," New York",10011,TRUE
294," Gramercy Tavern","42 E 20th St"," New York",10003,TRUE
295," Casa Mono","52 Irving Pl"," New York",10003,TRUE
296," Walls̩","344 W 11th St"," New York",10014,TRUE
297," Gotham Bar and Grill","12 E 12th St"," New York",10003,TRUE
298," Nix","72 University Pl"," New York",10003,TRUE
299," Babbo","110 Waverly Pl"," New York",10011,TRUE
300," Blue Hill","75 Washington Pl"," New York",10011,TRUE
301," Kanoyama","175 2nd Ave"," New York",10003,TRUE
302," Minetta Tavern","113 Macdougal St"," New York",10012,TRUE
303," Sushi Zo","88 W 3rd St"," New York",10012,TRUE
304," Carbone","181 Thompson St"," New York",10012,TRUE
305," ZZ's Clam Bar","169 Thompson St"," New York",10012,TRUE
306," Jewel Bako","239 E 5th St"," New York",10003,TRUE
307," Kyo Ya","94 E 7th St"," New York",10009,TRUE
308," Momofuku Ko","8 Extra Pl"," New York",10003,TRUE
309," Hirohisa","73 Thompson St"," New York",10012,TRUE
310," The Musket Room","265 Elizabeth St"," New York",10012,TRUE
311," Rebelle","218 Bowery"," New York",10012,TRUE
312," Uchu","217 Eldridge St"," New York",10002,TRUE
313," Uncle Boons","7 Spring St"," New York",10012,TRUE
314," Contra","138 Orchard St"," New York",10002,TRUE
315," B̢tard","239 W Broadway"," New York",10013,TRUE
316," Jungsik","2 Harrison St"," New York",10013,TRUE
317," Delaware and Hudson","135 N 5th St"," Brooklyn",11249,TRUE
318," Atera","77 Worth St"," New York",10013,TRUE
319," Aska","47 S 5th St"," Brooklyn",11249,TRUE
320," L'Appart","225 Liberty St"," New York",10281,TRUE
321," Meadowsweet","149 Broadway"," Brooklyn",11211,TRUE
322," Peter Luger Steak House","178 Broadway"," Brooklyn",11211,TRUE
323," Faro","436 Jefferson St"," Brooklyn",11237,TRUE
324," Blanca","261 Moore St"," Brooklyn",11206,TRUE
325," The River Caf̩","1 Water St"," Brooklyn",11201,TRUE
326," La Vara","268 Clinton St"," Brooklyn",11201,TRUE
327," The Finch","212 Greene Ave"," Brooklyn",11238,TRUE
383,"NOTARO RESTAURANT"," 635SECOND AVENUE",MANHATTAN,10016,FALSE
384,"AKIMOTO SUSHI"," 187CHURCH STREET",MANHATTAN,10007,FALSE
385,"NOTARO RESTAURANT"," 635SECOND AVENUE",MANHATTAN,10016,FALSE
386,"''W'' CAFE"," 3905TH AVE",MANHATTAN,10018,FALSE
387,"TOMOE SUSHI"," 172THOMPSON STREET",MANHATTAN,10012,FALSE
388,"SALUMERIA BEILLESE/ BIRICCHINO REST"," 3788 AVENUE",MANHATTAN,10001,FALSE
389,"FAMOUS FAMIGLIA PIZZERIA"," 1398MADISON AVENUE",MANHATTAN,10029,FALSE
390,O'NIEALS," 174GRAND STREET",MANHATTAN,10013,FALSE
391,"DA MIKELE"," 275CHURCH STREET",MANHATTAN,10013,FALSE
392,ALPHAVILLE," 140WILSON AVE",BROOKLYN,11237,FALSE
393,"RENAISSANCE HOTEL"," 7147 AVENUE",MANHATTAN,10036,FALSE
394,"PIZZETTERIA BRUNETTI"," 626HUDSON STREET",MANHATTAN,10014,FALSE
395,DELIMARIE," 106DUANE STREET",MANHATTAN,10007,FALSE
396,"AUX EPICES"," 121BAXTER STREET",MANHATTAN,10013,FALSE
